Running Time:     ,Nodes Expanded:   ,Cost of Path:     ,Max Fringe Size:  ,Search Depth:     ,Fringe Size:      ,Max Search Depth: ,Search Method:    
8.106231689453125e-05,0,0,0,1,0,1,BFS
0.0004019737243652344,2,1,5,2,4,3,BFS
0.0003681182861328125,3,2,4,3,3,3,BFS
0.0024261474609375,21,4,18,5,17,6,BFS
0.0025320053100585938,25,4,18,5,17,6,BFS
0.00025582313537597656,2,1,5,2,4,3,BFS
0.015915870666503906,167,7,106,8,105,9,BFS
0.0007669925689697266,9,2,8,3,7,4,BFS
0.0016999244689941406,17,4,18,5,17,6,BFS
0.006011009216308594,55,5,43,6,42,7,BFS
0.005534172058105469,54,5,43,6,42,7,BFS
1.0967254638671875e-05,0,0,0,1,0,1,BFS
0.004342079162597656,47,5,42,6,41,7,BFS
0.03609514236450195,425,9,249,10,248,11,BFS
0.0011060237884521484,13,3,14,4,13,5,BFS
0.0014090538024902344,16,4,18,5,17,6,BFS
0.0023851394653320312,29,4,18,5,17,6,BFS
0.002110004425048828,25,4,18,5,17,6,BFS
0.004148006439208984,53,6,39,7,38,8,BFS
0.00710296630859375,88,6,63,7,61,8,BFS
0.0938267707824707,1174,11,678,12,676,13,BFS
0.0017879009246826172,23,4,18,5,17,6,BFS
0.024463891983032227,262,8,147,9,146,10,BFS
0.008701801300048828,110,6,66,7,65,8,BFS
0.00021505355834960938,2,1,5,2,4,3,BFS
0.004433155059814453,57,6,39,7,38,8,BFS
0.01904010772705078,245,8,141,9,140,10,BFS
0.0005278587341308594,6,2,8,3,7,4,BFS
0.036167144775390625,404,9,260,10,259,11,BFS
0.0018780231475830078,21,4,18,5,17,6,BFS
0.0010838508605957031,13,3,14,4,13,5,BFS
0.014420032501220703,179,8,131,9,130,10,BFS
0.0002529621124267578,3,2,4,3,3,3,BFS
0.04366111755371094,558,10,342,11,341,12,BFS
0.009031057357788086,111,7,88,8,87,9,BFS
0.0016469955444335938,21,4,18,5,17,6,BFS
0.03837108612060547,483,10,307,11,306,12,BFS
0.03828692436218262,488,10,310,11,309,12,BFS
0.3985929489135742,4636,14,2466,15,2465,16,BFS
0.004224061965942383,53,5,35,6,34,7,BFS
0.07216691970825195,839,11,554,12,553,13,BFS
0.18439197540283203,2174,13,1398,14,1397,15,BFS
0.8798949718475342,9509,16,5083,17,5082,18,BFS
0.005448102951049805,63,6,44,7,43,8,BFS
0.06180095672607422,668,10,393,11,392,12,BFS
0.00012803077697753906,1,1,3,2,2,2,BFS
0.12790489196777344,1457,12,885,13,883,14,BFS
0.5727200508117676,6222,15,3603,16,3602,17,BFS
0.6856770515441895,7691,15,3999,16,3995,17,BFS
0.014358043670654297,161,8,126,9,125,10,BFS
0.010578155517578125,135,7,86,8,85,9,BFS
0.6904029846191406,7651,16,4595,17,4593,18,BFS
0.10262298583984375,1275,12,816,13,815,14,BFS
0.011187076568603516,145,7,88,8,87,9,BFS
0.025526046752929688,293,9,204,10,203,11,BFS
0.007812976837158203,88,6,63,7,61,8,BFS
0.481903076171875,5710,14,2997,15,2996,16,BFS
1.882802963256836,21138,18,10121,19,10116,20,BFS
0.2816929817199707,3139,14,1988,15,1987,16,BFS
0.0009851455688476562,11,3,10,4,9,5,BFS
0.0008039474487304688,9,3,10,4,9,4,BFS
0.04979205131530762,519,10,320,11,319,12,BFS
0.001199960708618164,11,3,10,4,9,5,BFS
0.07004904747009277,797,11,534,12,533,13,BFS
0.23402118682861328,2559,13,1536,14,1535,15,BFS
0.04111504554748535,450,10,294,11,293,12,BFS
1.6676628589630127,19151,17,8511,18,8510,19,BFS
0.590062141418457,6687,15,3746,16,3745,17,BFS
0.0684819221496582,688,10,396,11,395,12,BFS
3.6010091304779053,40537,20,17187,21,17179,22,BFS
4.126185894012451,45903,20,17289,21,17237,22,BFS
0.2654879093170166,3000,14,1935,15,1934,16,BFS
0.260699987411499,2942,14,1920,15,1919,16,BFS
12.108068943023682,135866,24,24048,25,17408,26,BFS
0.4729471206665039,5275,15,3321,16,3320,17,BFS
0.0021190643310546875,25,4,18,5,17,6,BFS
2.7484920024871826,31531,18,12189,19,12185,20,BFS
0.4781510829925537,5663,15,3444,16,3443,17,BFS
2.006937026977539,23980,18,10564,19,10561,20,BFS
0.06852388381958008,826,11,549,12,547,13,BFS
1.9870569705963135,23900,18,10531,19,10528,20,BFS
0.06621694564819336,818,11,541,12,540,13,BFS
0.06852316856384277,808,11,539,12,538,13,BFS
2.224256992340088,26491,18,11803,19,11796,20,BFS
0.05322098731994629,655,10,382,11,380,12,BFS
0.376039981842041,4556,14,2448,15,2447,16,BFS
0.23905396461486816,3009,13,1688,14,1687,15,BFS
0.5984480381011963,7027,15,3811,16,3810,17,BFS
2.203728199005127,25804,18,10749,19,10748,20,BFS
0.10177111625671387,1066,11,641,12,639,13,BFS
0.14172101020812988,1534,12,912,13,911,14,BFS
4.780588865280151,53305,20,18818,21,18814,22,BFS
5.211803913116455,59487,21,21794,22,21791,23,BFS
0.3745698928833008,4509,14,2429,15,2428,16,BFS
0.09162688255310059,1121,11,660,12,659,13,BFS
0.15865397453308105,1798,12,1003,13,1002,14,BFS
0.017327070236206055,215,8,135,9,134,10,BFS
0.4553837776184082,5305,14,2884,15,2883,16,BFS
1.8086810111999512,20105,18,9967,19,9966,20,BFS
0.12400603294372559,1405,12,867,13,866,14,BFS
0.17708396911621094,2047,13,1354,14,1353,15,BFS
0.0066220760345458984,79,6,59,7,58,8,BFS
0.13470101356506348,1685,12,972,13,971,14,BFS
4.716803073883057,54461,20,17289,21,17128,22,BFS
0.046701908111572266,572,10,391,11,390,12,BFS
1.9247450828552246,22256,18,10250,19,10248,20,BFS
0.660808801651001,7442,16,4533,17,4532,18,BFS
1.0032410621643066,11289,16,5523,17,5522,18,BFS
0.8364160060882568,9662,16,5636,17,5635,18,BFS
0.2742431163787842,2972,14,1926,15,1925,16,BFS
6.9848151206970215,77249,21,21826,22,20212,23,BFS
2.7248401641845703,31716,19,14407,20,14405,21,BFS
1.2479820251464844,14722,17,7856,18,7855,19,BFS
1.3939909934997559,16534,17,8149,18,8148,19,BFS
1.168092966079712,13495,17,7553,18,7552,19,BFS
0.8883891105651855,10498,16,5331,17,5330,18,BFS
5.245658874511719,58701,21,21784,22,21772,23,BFS
0.17087101936340332,2047,12,1189,13,1188,14,BFS
2.8279829025268555,32359,18,12219,19,12216,20,BFS
0.36626410484313965,4131,14,2524,15,2520,16,BFS
7.8873610496521,89958,22,23976,23,21587,24,BFS
2.058622121810913,24464,18,10601,19,10598,20,BFS
6.93889594078064,80976,22,23980,23,23005,24,BFS
0.7024400234222412,8274,15,4159,16,4155,17,BFS
1.3965299129486084,16586,17,8171,18,8168,19,BFS
2.681565046310425,30126,19,14143,20,14140,21,BFS
0.003738880157470703,43,5,30,6,29,7,BFS
0.38811707496643066,4685,14,2713,15,2712,16,BFS
0.6592280864715576,7297,15,3936,16,3933,17,BFS
3.2234370708465576,36917,19,14629,20,14618,21,BFS
2.5792620182037354,30234,18,12076,19,12070,20,BFS
0.0029430389404296875,34,4,30,5,29,6,BFS
6.974502086639404,78829,21,21826,22,19852,23,BFS
15.11733603477478,171202,27,25133,28,7240,29,BFS
0.12039399147033691,1211,12,799,13,798,14,BFS
2.7070558071136475,30628,19,14296,20,14294,21,BFS
0.8202629089355469,9608,16,5617,17,5616,18,BFS
5.40479302406311,62194,21,21811,22,21745,23,BFS
5.117157936096191,58862,21,21811,22,21781,23,BFS
10.64844012260437,122218,24,24048,25,22403,26,BFS
0.34662914276123047,4142,14,2326,15,2325,16,BFS
2.4584269523620605,28770,19,13983,20,13982,21,BFS
0.9542250633239746,11374,16,5544,17,5543,18,BFS
0.024672985076904297,197,8,133,9,131,10,BFS
6.549294948577881,76033,21,21826,22,20473,23,BFS
4.242944955825806,49463,20,17289,21,17216,22,BFS
